事件名称,综合影响力,媒体参与家数,央媒得分,公众舆论指数,平均传播速度（条/小时）_对数变换,峰值传播速度（条/小时）_对数变换,事件持续时长(小时)_对数变换,渠道总数_对数变换,意见领袖总影响力(万)_对数变换,首发媒体权威度_1级,首发媒体权威度_2级,首发媒体权威度_3级,首发媒体权威度_4级,媒体权威度等级,是否为谣言
盒马发生一氧化碳泄漏致36人中毒,62.2,7,0.17,0.019,1.386294361,5.056245805,5.552959585,3.36729583,8.393216012,1,0,0,0,1,0
俄本土遭火箭弹袭击,66.7,36,0.98,0.092,1.791759469,4.382026635,5.59471138,4.744932128,8.898911906,1,0,0,0,1,0
中国人民银行征信中心：提供征信修复并借此敛财均为诈骗,62.9,42,1.26,0.043,1.609437912,5.147494477,5.129898715,4.394449155,8.33423143,1,0,0,0,1,1
甘肃白银4.9级地震,73.4,60,2.32,0.23,3.17805383,6.722629795,5.356586275,5.857933154,9.091556836,0,1,0,0,2,0
上海迪士尼因取消烟花秀发文致歉,64.3,13,0.46,0.1,1.791759469,4.844187086,5.38907173,3.951243719,9.195125206,0,0,1,0,3,0
李国庆宣布离婚成功,64.2,15,0.17,0.09,1.609437912,4.820281566,5.455321115,4.043051268,9.126850061,0,1,0,0,2,0
官方通报湖南一碗麻辣烫106元,69.2,42,1.04,0.044,2.48490665,5.476463552,5.455321115,5.153291594,8.834628222,0,1,0,0,2,0
东航乘客“机闹”两小时致航班取消,67.3,28,0.46,0.033,1.791759469,5.501258211,5.752572639,4.804021045,9.043577154,0,0,1,0,3,0
兴业银行尾盘集合竞价异动,66.7,19,0.86,0.056,2.079441542,5.370638028,5.379897354,4.060443011,7.851661178,0,1,0,0,2,0
古茗联名莲花楼,65.9,4,0.17,0.062,3.891820298,6.171700597,5.129898715,2.079441542,9.107088742,0,0,1,0,3,0
招商银行向员工逆向讨薪近6000万,62.9,20,0.41,0.054,1.386294361,4.983606622,5.579729826,4.189654742,9.007244516,0,1,0,0,2,0
特斯拉儿童版cybertruck将进入中国,66.5,15,0.23,0.032,2.48490665,7.018401799,5.616771098,4.189654742,9.12314716,0,0,1,0,3,0
京东也将支持仅退款,69.7,43,0.46,0.053,2.564949357,6.56667243,5.624017506,5.117993812,8.875007486,0,0,1,0,3,0
东方甄选拟15亿出售教育业务,65.0,31,1.51,0.02,1.609437912,4.934473933,5.631211782,4.382026635,8.532475815,0,1,0,0,2,0
电视剧《繁花》开播,88.2,87,3.75,0.29,4.762173935,6.416732283,6.282266747,7.461065514,10.55539599,1,0,0,0,1,0
上海杀妻欲藏尸冰柜案二审维持死刑,60.8,9,0.06,0.018,1.098612289,4.762173935,5.446737372,3.828641396,8.945462952,0,1,0,0,2,0
李善均去世,69.6,12,0.29,0.081,2.63905733,6.532334292,5.484796933,4.65396035,9.343646739,0,1,0,0,2,0
淘宝将支持仅退款,73.1,53,0.7,0.11,3.17805383,7.009408933,5.666426688,5.398162702,9.257987025,0,0,0,1,4,0
盒马被曝贝果中吃出螺丝,59.0,4,0.0,0.016,1.386294361,5.187385806,5.379897354,2.564949357,8.339978572,0,1,0,0,2,0
淘宝回应调整服装发货时间,55.1,3,0.0,0.007,0.693147181,3.465735903,5.379897354,2.197224577,7.836369761,0,1,0,0,2,0
京东零售公布涨薪,72.7,39,1.56,0.1,3.433987204,7.134093721,5.379897354,5.225746674,9.319105087,0,1,0,0,2,0
复旦教授称中国退休年龄还是太早,62.4,3,0.0,0.033,3.871201011,5.85220248,3.218875825,2.302585093,8.770439087,0,1,0,0,2,0
特斯拉工厂被曝机器人袭击工程师,72.6,60,1.91,0.063,3.218875825,6.190315406,5.429345629,5.472270674,9.002085433,0,0,0,1,4,0
河南宁陵县通报一学生坠亡事件,64.7,31,0.58,0.015,1.945910149,5.056245805,5.429345629,4.532599493,8.590257762,0,1,0,0,2,0
农行行长履新金融监管总局副局长,56.2,16,0.7,0.011,0.693147181,3.63758616,5.529429088,3.218875825,6.726233402,0,1,0,0,2,0
券商落地“限售股不得融券”新规,66.0,43,1.68,0.022,1.945910149,4.955827058,5.529429088,4.59511985,8.265392931,0,1,0,0,2,0
淘宝联名网易云音乐发布年度 AI 神曲,54.5,11,0.35,0.005,0.693147181,3.218875825,5.529429088,2.833213344,7.554858521,0,1,0,0,2,0
全面禁燃烟花爆竹引热议,79.6,105,3.42,0.19,4.094344562,6.464588304,5.529429088,6.66440902,9.45469732,1,0,0,0,1,0
习近平就毛泽东诞辰130周年讲话,80.2,159,10.03,0.29,4.127134385,7.001245622,5.379897354,7.056175284,9.37364899,0,0,0,1,4,0
男子称从ATM取款20天后发现6张练功券,52.8,9,0.11,0.004,0.693147181,2.944438979,5.379897354,2.833213344,6.396929655,0,0,0,1,4,0
中国象棋协会处罚全国冠军,68.1,25,0.35,0.068,2.197224577,5.141663557,5.402677382,4.919980926,9.267948685,0,1,0,0,2,0
暴雪或与网易重新牵手合作,68.2,47,0.81,0.045,2.079441542,5.017279837,5.442417711,5.010635294,8.976135873,0,1,0,0,2,0
山西大同“订婚强奸案”,75.8,52,0.99,0.13,3.713572067,6.37331979,5.455321115,5.755742214,9.401786837,0,1,0,0,2,0
小米官宣汽车技术发布会,80.6,37,0.99,0.22,4.454347296,7.756623335,5.484796933,5.934894196,9.746716777,0,1,0,0,2,0
百度发布2023年度沸点榜单,51.5,7,0.23,0.003,0.693147181,3.135494216,5.379897354,2.302585093,6.102558595,0,0,1,0,3,0
麦当劳回应将涨价,71.9,41,1.1,0.072,2.63905733,5.746203191,5.549076085,5.342334252,9.130214327,0,1,0,0,2,0
江苏一公司被曝用积分代替工资,65.0,26,0.58,0.025,1.791759469,5.225746674,5.379897354,4.48863637,8.284504227,0,1,0,0,2,0
安徽“千百意老爷爷”反转事件,51.9,6,0.06,0.003,0.693147181,3.135494216,5.379897354,2.197224577,6.74051936,0,0,1,0,3,0
四川一镇工作人员集体脱岗,54.3,9,0.17,0.004,0.693147181,3.36729583,5.379897354,3.135494216,6.801283034,0,1,0,0,2,0
东方甄选所售广西金桔被指虚假宣传,61.7,11,0.06,0.031,1.791759469,3.663561646,5.129898715,3.737669618,8.329175442,0,0,0,1,4,0
美国黄石公园检出僵尸鹿病毒,65.3,32,0.75,0.024,1.945910149,4.634728988,5.262690189,4.836281907,9.100302267,0,0,1,0,3,0
小米就某芯片公司事件辟谣,63.9,16,0.35,0.035,2.397895273,6.216606101,5.262690189,3.970291914,8.991935575,0,0,0,1,4,0
京东员工遭强制解约,52.6,2,0.06,0.005,0.693147181,2.708050201,5.262690189,1.791759469,6.763884909,0,0,1,0,3,0
女研究生制售色情书被抓,67.0,17,0.41,0.05,1.945910149,5.739792912,5.638354669,4.369447852,9.068431126,1,0,0,0,1,0
上海迪士尼“热力追踪”项目故障,67.3,24,0.52,0.039,1.791759469,4.852030264,5.720311777,4.905274778,9.055089087,0,1,0,0,2,0
vivo两高管在印度被拘捕,69.6,41,1.04,0.063,2.397895273,5.198497031,5.379897354,5.402677382,8.830981511,0,1,0,0,2,0
华润集团声明未开展所谓的“智慧医疗”相关项目,59.8,16,0.7,0.014,1.386294361,3.713572067,5.379897354,3.784189634,6.194405391,0,1,0,0,2,0
蔚来发布首颗自研智能驾驶芯片,64.9,14,0.64,0.022,1.945910149,5.762051383,5.379897354,3.555348061,9.118115428,0,0,1,0,3,0
华为公司申请芯片封装结构专利,60.4,1,0.0,0.012,1.386294361,4.007333185,5.424950017,1.945910149,8.690137586,0,1,0,0,2,0
国家新闻出版署网游新规,76.6,60,1.8,0.15,3.688879454,6.878326468,5.484796933,5.857933154,9.280052984,0,0,1,0,3,0
清华“铊中毒”受害者朱令去世,77.9,52,0.87,0.24,4.17438727,7.539558829,5.484796933,6.023447593,9.760194383,0,1,0,0,2,0
上海市监局罚没4家医药企业逾12亿,60.2,19,0.41,0.009,1.098612289,3.891820298,5.187385806,3.871201011,7.68294317,0,1,0,0,2,0
春节正式成为联合国假日,75.0,131,3.71,0.14,3.33220451,6.710523109,5.187385806,6.633318433,8.983941528,1,0,0,0,1,0
淘天集团开启新一轮调整,56.0,5,0.17,0.006,0.693147181,4.430816799,5.187385806,2.48490665,6.942156706,0,0,1,0,3,0
董宇辉个人工作室成立,73.3,51,1.16,0.066,4.077537444,6.040254711,4.875197323,5.517452896,9.12858787,0,1,0,0,2,0
河南多地机关单位暂停供暖,57.2,6,0.06,0.011,1.098612289,3.80666249,5.187385806,3.258096538,8.657129032,0,1,0,0,2,0
河南安阳吃火锅一氧化碳中毒3死3伤,67.3,32,0.7,0.053,2.302585093,4.96284463,5.187385806,5.192956851,8.441607204,0,1,0,0,2,0
小米 Civi 3 草莓熊联名,65.4,6,0.0,0.014,1.945910149,4.96284463,5.484796933,4.48863637,9.147932912,0,0,1,0,3,0
重庆银行“迁怒”中金公司,50.5,4,0.0,0.0,0.693147181,3.663561646,5.262690189,1.791759469,3.663561646,0,1,0,0,2,0
周杰伦新歌《圣诞星》上线,69.0,16,0.23,0.03,3.135494216,6.49677499,5.220355825,4.624972813,9.227394127,0,0,0,1,4,0
正威旗下半导体公司10亿股权被冻结,52.3,6,0.06,0.002,0.693147181,3.401197382,5.220355825,2.079441542,5.455321115,0,1,0,0,2,0
22岁女老师被7旬老人开老头乐撞死,66.7,4,0.0,0.048,2.397895273,6.003887067,5.236441963,3.850147602,9.114269903,0,1,0,0,2,0
捷克查理大学发生枪击事件,64.2,47,1.22,0.027,1.609437912,4.48863637,5.252273428,5.043425117,8.591186871,0,1,0,0,2,0
微博发布年度报告,77.7,1,0.0,0.089,6.056784013,8.980927208,5.313205979,3.33220451,9.57630206,0,0,0,1,4,0
东兴证券系统宕机逾1小时,53.7,6,0.29,0.004,0.693147181,3.044522438,5.313205979,2.63905733,6.378426184,0,1,0,0,2,0
多家银行宣布下调存款利率,76.9,93,3.3,0.095,3.36729583,5.953243334,5.579729826,6.773080376,8.618485443,0,0,1,0,3,0
银联与华为达成鸿蒙深化合作,59.5,19,0.75,0.005,1.386294361,3.526360525,5.313205979,3.526360525,8.161089513,1,0,0,0,1,0
